A
Caa
Cab
Cba
Cbb
D
Da
DE
Dfa
Dfb
Di
Dk
FW
I
Na
Nb
Nc
Ncd
Nd
Nep
Neqa
Neqb
Nes
Neu
Nf
Ng
Nh
Nv
P
SHI
T
V2
VA
VAC
VB
VC
VCL
VD
VE
VF
VG
VH
VHC
VI
VJ
VK
VL
COLONCATEGORY
COMMACATEGORY
DASHCATEGORY
EXCLAMATIONCATEGORY
DOTCATEGORY
ETCCATEGORY
PARENTHESISCATEGORY
PAUSECATEGORY
PERIODCATEGORY
QUESTIONCATEGORY
SEMICOLONCATEGORY
